EMPRESA,AÃ‘O,ACTIVOS_x,PATRIMONIO_x,INGRESOS_OPERACIONALES_x,OTROS_INGRESOS_x,GASTOS_OPERACIONALES_x,OTROS_GASTOS_IMPUESTOS_x,UTILIDAD_OPERACIONAL_x,UTILIDAD_NETA_x,INGRESOS_OPERACIONALES_y,OTROS_INGRESOS_y,ACTIVOS_y,PATRIMONIO_y,GASTOS_OPERACIONALES_y,OTROS_GASTOS_IMPUESTOS_y,UTILIDAD_OPERACIONAL_y,UTILIDAD_NETA_y
ACES,1995,61350685.0,28634773.0,121159023.0,5261195.0,120491365.0,4622179.0,667662.0,-4217167.0,,,,,,,,
AEROREPUBLICA,1995,15889257.0,5223942.0,46962090.0,61247.0,67384778.0,1178710.0,-21877.0,-800126.0,,,,,,,,
AEROTACA,1995,620931.0,2053532.0,4541016.0,1886989.0,5266507.0,865917.0,726591.0,-586360.0,,,,,,,,
AIRES,1995,9246877.0,6054356.0,24109119.0,46769586.0,22689638.0,1055848.0,1503420.0,-4445566.0,,,,,,,,
AVIANCA,1995,348546847.0,45586073.0,531699767.0,3028307.0,503498654.0,50441794.0,28204448.0,-8994566.0,,,,,,,,
INTERCONTINENTAL,1995,35226608.0,3461423.0,37131277.0,849241.0,38552732.0,5179836.0,-1421455.0,-119167.0,,,,,,,,
SAM,1995,69928174.0,6555280.0,98832394.0,69393.0,96143147.0,3884730.0,2589265.0,539369.0,,,,,,,,
OTRAS,1995,1338422.0,9761796.0,1293466.0,54731715.0,2691401.0,61640.0,53736.0,-85797.0,,,,,,,,
TOTAL PAX REG.,1995,518819258.0,97519726.0,865731277.0,5192004.0,835211414.0,67181636.0,305581822.0,1689032.0,,,,,,,,
CARGA,1995,32109562.0,1310436.0,70566043.0,15446644.0,74988248.0,1986342.0,788057.0,1596449.0,,,,,,,,
AEROTAXIS,1995,38248605.0,27215635.0,6582902.0,,60387182.0,13377604.0,7200654.0,0.0,,,,,,,,
TOTAL TRANSP. AEREO,1995,635014516.0,137878310.0,1002299089.0,84177888.0,970917971.0,84763276.0,31412784.0,-11472244.0,,,,,,,,
ACES,1996,81432461.0,38646297.0,171190440.0,5329656.0,163462577.0,7732236.0,7727853.0,5325282.0,,,,,,,,
AEROREPUBLICA,1996,24080402.0,6823200.0,71966313.0,873945.0,82468110.0,3288452.0,6722703.0,3249251.0,,,,,,,,
AEROTACA,1996,729420.0,1594411.0,6772789.0,764003.0,7265719.0,1166347.0,-294336.0,-584332.0,,,,,,,,
AIRES,1996,11337071.0,6496772.0,32227813.0,60000110.0,30826611.0,3812579.0,1401396.0,1305873.0,,,,,,,,
AVIANCA,1996,407087287.0,64627295.0,629279234.0,4360372.0,604723899.0,65673143.0,24549645.0,18976322.0,,,,,,,,
INTERCONTINENTAL,1996,29219531.0,3180666.0,45717926.0,17220240.0,45807345.0,3922592.0,210681.0,-920457.0,,,,,,,,
SAM,1996,117006985.0,7336987.0,96177894.0,466899.0,106770566.0,6412794.0,-10602202.0,704846.0,,,,,,,,
OTRAS,1996,5607151.0,20764560.0,1884463.0,89697835.0,,,,527641.0,,,,,,,,
TOTAL PAX REG.,1996,582703465.0,161468410.0,1025642920.0,5320616.0,1048433056.0,89965836.0,288966803.0,-6049845.0,,,,,,,,
CARGA,1996,34437614.0,11414530.0,9349764.0,14375652.0,93949165.0,5957375.0,4354631.0,4073244.0,,,,,,,,
AEROTAXIS,1996,121548844.0,49229617.0,127646007.0,,123474879.0,14249131.0,4711277.0,,,,,,,,,
TOTAL TRANSP. AEREO,1996,838529523.0,212109107.0,1277586324.0,109398244.0,1272136186.0,108689261.0,27123439.0,25356113.0,,,,,,,,
ACES,1997,121531573.0,62598665.0,209522234.0,13136086.0,209185759.0,12370173.0,3370465.0,4356135.0,,,,,,,,
AEROREPUBLICA,1997,42045152.0,10212855.0,76627668.0,336497.0,73846705.0,2851300.0,2816833.0,204160.0,,,,,,,,
AEROTACA,1997,931222.0,2796101.0,8407285.0,1056179.0,8896785.0,1701507.0,1056030.0,-531298.0,,,,,,,,
AIRES,1997,14009329.0,8243483.0,40370346.0,57069066.0,34964907.0,1482454.0,1235899.0,1866746.0,,,,,,,,
AVIANCA,1997,642838736.0,98709757.0,745363378.0,4160623.0,896826726.0,56762557.0,36336964.0,41801391.0,,,,,,,,
INTERCONTINENTAL,1997,36446417.0,9229305.0,46528354.0,4242293.0,53616720.0,7651967.0,9867132.0,285792.0,,,,,,,,
SAM,1997,89648985.0,9911269.0,134340911.0,1746751.0,130085436.0,7651967.0,-3284432.0,872442.0,,,,,,,,
OTRAS,1997,7107060.0,27507850.0,3027680.0,78549479.0,,,,592430.0,,,,,,,,
TOTAL PAX REG.,1997,1061330736.0,229198965.0,1286720281.0,14222876.0,1230784764.0,84946709.0,345891819.0,-4198770.0,,,,,,,,
CARGA,1997,63434946.0,20676829.0,17171696.0,22818242.0,116527216.0,1549045.0,7783435.0,-110782.0,,,,,,,,
AEROTAXIS,1997,168563539.0,75534284.0,131686028.0,,132563726.0,19882716.0,-1838726.0,,,,,,,,,
TOTAL TRANSP. AEREO,1997,1244394237.0,325492042.0,1588676263.0,115092426.0,1530177713.0,120320060.0,58495266.0,14878110.0,,,,,,,,
ACES,1998,136181188.0,69037090.0,251208450.0,14071204.0,256319311.0,14337490.0,-3950861.0,-4217147.0,,,,,,,,
AEROREPUBLICA,1998,51786066.0,10521682.0,80553630.0,1211554.0,78210183.0,4931714.0,2742817.0,-800126.0,,,,,,,,
AEROTACA,1998,251479.0,1458908.0,9341616.0,1966730.0,,1613424.0,-432249.0,-56960.0,,,,,,,,
AIRES,1998,14751101.0,7717676.0,44355257.0,125475512.0,47330477.0,599402.0,2974544.0,-1445603.0,,,,,,,,
AVIANCA,1998,654126524.0,79219246.0,838525243.0,11439665.0,823472722.0,103564057.0,16052404.0,-8394686.0,,,,,,,,
INTERCONTINENTAL,1998,40995077.0,10147577.0,45909848.0,22505205.0,60942014.0,,5902073.0,19157.0,,,,,,,,
SAM,1998,147785920.0,13830161.0,161241166.0,,159637410.0,13571998.0,-8266150.0,639369.0,,,,,,,,
OTRAS,1998,9051881.0,16740686.0,,169023706.0,,,,,,,,,,,,
TOTAL PAX REG.,1998,1051944289.0,192331995.0,1421515085.0,,1413171548.0,136894611.0,38043539.0,-14857993.0,,,,,,,,
CARGA,1998,78665521.0,,,,175571973.0,,,,,,,,,,,
AEROTAXIS,1998,195236449.0,,,,1413171548.0,,,,,,,,,,,
TOTAL TRANSP. AEREO,1998,1404846259.0,192331995.0,1421515085.0,169023706.0,1413171548.0,136894511.0,38043539.0,-14857993.0,,,,,,,,
ACES,1991,,,,,,,,,28392619.0,572322.0,20536319.0,10239004.0,18387165.0,6479313.0,6945462.0,1041471.0
AEROREPUBLICA,1991,,,,,,,,,,,,,,,,
AEROTACA,1991,,,,,,,,,1616430.0,323609.0,1652201.0,537494.0,1561882.0,86443.0,53538.0,48695.0
AIRES,1991,,,,,,,,,4627416.0,132111.0,2047749.0,584612.0,4189926.0,282886.0,238234.0,77449.0
AVIANCA,1991,,,,,,,,,255710338.0,72727823.0,206162365.0,23266134.0,277716305.0,17980332.0,-13976967.0,-30472964.0
INTERCONTINENTAL,1991,,,,,,,,,11981178.0,322168.0,5626406.0,805128.0,11536209.0,658148.0,621967.0,266898.0
SAM,1991,,,,,,,,,9938287.0,408164.0,15902362.0,6577961.0,39666271.0,78123.0,174016.0,503057.0
SATENA,1991,,,,,,,,,,,,,,,,
TRANSORIENTE,1991,,,,,,,,,,,,,,,,
TAS,1991,,,,,,,,,,31752.0,452922.0,316149.0,238338.0,41026.0,-102774.0,-36278.0
TRANSAMAZONICA,1991,,,,,,,,,235986.0,,,,,,,
AEROVUELOS,1991,,,,,,,,,380000.0,3.0,119700.0,111700.0,929830.0,16704.0,50070.0,50070.0
AEROCORALES,1991,,,,,,,,,11332.0,,79576.0,13454.0,14708.0,,,
ACES,1992,,,,,,,,,40001808.0,622328.0,26368483.0,13650658.0,29310581.0,9921232.0,10691327.0,1392421.0
AEROREPUBLICA,1992,,,,,,,,,,,,,,,,
AEROTACA,1992,,,,,,,,,1695605.0,1408995.0,1900449.0,578240.0,1725395.0,223614.0,-27390.0,71804.0
AIRES,1992,,,,,,,,,7163397.0,381847.0,2986188.0,1058408.0,6761901.0,361463.0,291486.0,311885.0
AVIANCA,1992,,,,,,,,,301000186.0,48834726.0,210652648.0,12646123.0,324588219.0,20313787.0,-8834358.0,-48933539.0
INTERCONTINENTAL,1992,,,,,,,,,20401646.0,405463.0,9351499.0,1775992.0,14248752.0,847113.0,1151694.0,720274.0
SAM,1992,,,,,,,,,54847223.0,2999267.0,25058131.0,8580501.0,61856524.0,1879081.0,2686099.0,308885.0
SATENA,1992,,,,,,,,,,,,,,,,
TRANSORIENTE,1992,,,,,,,,,,,,,,,,
TAS,1992,,,,,,,,,,23216.0,520915.0,389285.0,484780.0,56296.0,,
TRANSAMAZONICA,1992,,,,,,,,,535548.0,,,,,,,
AEROVUELOS,1992,,,,,,,,,380000.0,60066.0,800800.0,784800.0,903000.0,45780.0,227978.0,227978.0
AEROCORALES,1992,,,,,,,,,,,703448.0,,,,,
ACES,1993,,,,,,,,,70813891.0,2731305.0,36362712.0,15577392.0,52145108.0,20710119.0,18468343.0,490129.0
AEROREPUBLICA,1993,,,,,,,,,5929997.0,164665.0,1795455.0,410760.0,5990271.0,89658.0,-660274.0,-665168.0
AEROTACA,1993,,,,,,,,,2572516.0,474344.0,4230607.0,2881033.0,2776347.0,364033.0,-203221.0,833935.0
AIRES,1993,,,,,,,,,10780331.0,425832.0,3835228.0,1447281.0,10896584.0,304657.0,34747.0,215922.0
AVIANCA,1993,,,,,,,,,356315606.0,36018177.0,237385367.0,18447458.0,371884366.0,13028567.0,-1004054.0,-8422860.0
INTERCONTINENTAL,1993,,,,,,,,,43768588.0,892267.0,19865477.0,2522618.0,41209455.0,2460316.0,2556413.0,887354.0
SAM,1993,,,,,,,,,72925205.0,5148800.0,24662300.0,3985040.0,77567000.0,2433000.0,4731003.0,-2018000.0
SATENA,1993,,,,,,,,,,,,,,,,
TRANSORIENTE,1993,,,,,,,,,,,,,,,,
TAS,1993,,,,,,,,,,72864.0,587168.0,392357.0,607609.0,6358.0,,
TRANSAMAZONICA,1993,,,,,,,,,504935.0,,,,,,,
AEROVUELOS,1993,,,,,,,,,1130976.0,31907.0,813686.0,846698.0,445319.0,58975.0,61862.0,78340.0
AEROCORALES,1993,,,,,,,,,520937.0,,703448.0,,,,,
ACES,1994,,,,,,,,,100586612.0,3588833.0,51133796.0,23495100.0,88316370.0,3275537.0,2286242.0,2583534.0
AEROREPUBLICA,1994,,,,,,,,,28882433.0,489778.0,10025658.0,6005734.0,27813033.0,291547.0,1079130.0,1277381.0
AEROTACA,1994,,,,,,,,,3781657.0,561247.0,5770556.0,2053532.0,4420431.0,562899.0,-626334.0,-717489.0
AIRES,1994,,,,,,,,,15465305.0,558098.0,4988752.0,2058938.0,16530572.0,324109.0,114192.0,348721.0
AVIANCA,1994,,,,,,,,,444832521.0,28061556.0,280911229.0,21817375.0,443857162.0,28966101.0,775169.0,1870134.0
INTERCONTINENTAL,1994,,,,,,,,,52846186.0,2406088.0,27802784.0,6094362.0,48057374.0,3585515.0,4720934.0,3618772.0
SAM,1994,,,,,,,,,73098684.0,3341136.0,33472786.0,532854.0,79626260.0,708312.0,-6529636.0,-3894812.0
SATENA,1994,,,,,,,,,,,,,,,,
TRANSORIENTE,1994,,,,,,,,,42561.0,19743.0,248490.0,4555.0,50457.0,2453.0,-7826.0,9384.0
TAS,1994,,,,,,,,,309280.0,16843.0,587168.0,300000.0,422185.0,1885.0,,
TRANSAMAZONICA,1994,,,,,,,,,504935.0,,1050912.0,,,,,
AEROVUELOS,1994,,,,,,,,,1130976.0,31807.0,1823864.0,836720.0,773625.0,65985.0,81621.0,74559.0
AEROCORALES,1994,,,,,,,,,520937.0,,1050912.0,,,,,
